Date,시가,고가,저가,종가,거래량,변동률
2021-12-02,"64,800원","65,600원","63,800원","65,000원","1,049,808건",-0.31%
2021-12-03,"65,200원","68,100원","64,700원","67,500원","1,634,554건",3.85%
2021-12-06,"67,200원","67,900원","65,200원","65,700원","1,250,833건",-2.67%
2021-12-07,"65,900원","67,900원","65,800원","67,500원","1,111,423건",2.74%
2021-12-08,"68,100원","68,700원","66,900원","67,500원","918,679건",0.00%
2021-12-09,"64,400원","65,000원","63,600원","64,200원","12,816,162건",-4.89%
2021-12-10,"64,500원","65,000원","63,100원","63,400원","2,403,988건",-1.25%
2021-12-13,"63,800원","64,500원","63,300원","63,400원","1,599,879건",0.00%
2021-12-14,"62,700원","63,900원","62,700원","63,000원","863,297건",-0.63%
2021-12-15,"62,800원","63,400원","62,400원","62,600원","1,286,504건",-0.63%
2021-12-16,"63,000원","63,200원","62,300원","63,100원","951,069건",0.80%
2021-12-17,"63,000원","64,000원","62,400원","63,900원","7,191,381건",1.27%
2021-12-20,"63,200원","63,300원","62,000원","62,300원","785,490건",-2.50%
2021-12-21,"62,300원","62,700원","60,700원","61,400원","918,368건",-1.44%
2021-12-22,"61,600원","61,800원","60,800원","60,900원","627,279건",-0.81%
2021-12-23,"61,000원","61,100원","59,700원","60,500원","1,010,606건",-0.66%
2021-12-24,"60,000원","60,800원","60,000원","60,200원","570,849건",-0.50%
2021-12-27,"60,200원","60,200원","59,200원","59,300원","692,148건",-1.50%
2021-12-28,"59,000원","60,300원","58,800원","60,300원","859,558건",1.69%
2021-12-29,"60,300원","60,400원","59,500원","59,800원","506,443건",-0.83%
2021-12-30,"59,900원","59,900원","59,000원","59,000원","565,051건",-1.34%
2022-01-03,"59,000원","59,800원","58,900원","59,100원","716,944건",0.17%
2022-01-04,"59,100원","59,200원","57,200원","57,300원","1,221,416건",-3.05%
2022-01-05,"57,400원","57,400원","55,000원","55,600원","2,068,038건",-2.97%
2022-01-06,"55,200원","56,700원","54,600원","56,000원","2,263,007건",0.72%
2022-01-07,"55,600원","56,200원","55,000원","55,000원","1,180,315건",-1.79%
2022-01-10,"54,200원","54,400원","50,600원","51,100원","4,158,580건",-7.09%
2022-01-11,"50,900원","51,200원","49,200원","49,350원","3,785,349건",-3.42%
2022-01-12,"49,500원","50,400원","49,200원","49,300원","3,316,544건",-0.10%
2022-01-13,"49,450원","50,200원","48,800원","48,850원","1,860,929건",-0.91%
2022-01-14,"48,300원","48,350원","46,150원","46,300원","3,731,973건",-5.22%
2022-01-17,"45,800원","46,350원","44,750원","45,100원","3,038,409건",-2.59%
2022-01-18,"45,150원","45,350원","43,200원","43,300원","3,559,369건",-3.99%
2022-01-19,"42,100원","43,250원","41,150원","41,800원","3,714,279건",-3.46%
